subject_name_en,subject_name
Use of Graphics Package Software,การใช้โปรแกรมสำเร็จรูปทางกราฟิกส์
Computer Graphics Design,การออกแบบคอมพิวเตอร์กราฟฟิกส์
Creative Thinking,ความคิดสร้างสรรค์
Principles of Economics,หลักเศรษฐศาสตร์
Environment and Development,สิ่งแวดล้อมกับการพัฒนา
Productivity,การเพิ่มผลผลิต
Decision Support and Business Intelligence System,ระบบสนับสนุนการตัดสินใจและธุรกิจอัจฉริยะ
Information System Security,ความมั่นคงของระบบสารสนเทศ
Data Warehouse and Data Mining,คลังข้อมูลและเหมืองข้อมูล
Information Retrieval,การค้นคืนสารสนเทศ
Advance Database Systems,ระบบฐานข้อมูลขั้นสูง
Big Data Analytic and Management Technology,เทคโนโลยีการจัดการและวิเคราะห์ข้อมูลขนาดใหญ่
Special Topic for Information Management,หัวข้อพิเศษเกี่ยวกับการจัดการสารสนเทศ
Sociological and Cultural Background of English-Speaking Countries,ภูมิหลังทางสังคมและวัฒนธรรมของประเทศเจ้าของภาษาอังกฤษ
Business Simulation,การจำลองทางธุรกิจ
Recreation,นันทนาการ
Speaking and Writing for Careers,การพูดและการเขียนทางวิชาชีพ
Social Network for Business,เครือข่ายสังคมออนไลน์เพื่อธุรกิจ
Reading and Presentation Topics about Information Systems,การอ่านและนำเสนอเรื่องที่เกี่ยวกับระบบสารสนเทศ
Electronics Commerce,พาณิชย์อิเล็กทรอนิกส์
Business Process Management,การจัดกระบวนการทางธุรกิจ
Thinking and Making Decision  Scientifically,การคิดและการตัดสินใจเชิงวิทยาศาสตร์
Product and Price Management,การจัดการผลิตภัณฑ์และราคา
Intermediate Japanese for Business 1,ภาษาญี่ปุ่นระดับกลางทางธุรกิจ 1
Intermediate Japanese for Business 2,ภาษาญ่ีปุ่นระดับกลางทางธุรกิจ 2
Listening and Speaking Japanese for Business,การฟังและการพูดภาษาญี่ปุ่นทางธุรกิจ
Physical Education,พลศึกษา
Earth Phenomenon,โลกและปรากฏการณ์
Introduction Financial Market and International Business,ความรู้เบื้องต้นเกี่ยวกับตลาดการเงิน และธุรกิจระหว่างประเทศ
ASEAN Trade,การค้าในภูมิภาคอาเซียน
Sports for Competition,กีฬาเพื่อการแข่งขัน
Sports Science for Health,วิทยาศาสตร์การกีฬาเพื่อสุขภาพ
Implementation of Information System in Business,การใช้งานระบบสารสนเทศในธุรกิจ
Information Technology Management,การจัดการเทคโนโลยีสารสนเทศ
Data Mining,การทำเหมืองข้อมูล
Data Warehouse,คลังข้อมูล
Office Management,การจัดการสำนักงาน
Information Retrieval,การค้นคืนระบบสารสนเทศ
Business Chinese,ภาษาจีนเพื่อธุรกิจ
Chinese for Communication,ภาษาจีนเพื่อการสื่อสาร
Accounting for Management,การบัญชีเพื่อการจัดการ
Computer Programming 1,การเขียนโปรแกรมคอมพิวเตอร์ 1
Psychology for Living and Work,จิตวิทยาเพื่อการดำเนินชีวิตและการทำงาน
Man and Ethics,มนุษย์กับจริยธรรม
Organizational Psychology,จิตวิทยาองค์การ
Fisheries Extension,การส่งเสริมการประมง
2D Animation 1,การสร้างภาพเคลื่อนไหว 2 มิติ 1
2D Animation 2,การสร้างภาพเคลื่อนไหว 2 มิติ 2
Marketing Research,การวิจัยการตลาด
Business Information System Project,โครงงานระบบสารสนเทศทางธุรกิจ
Information System Analysis and Design,การวิเคราะห์และออกแบบระบบสารสนเทศ
"Information Systems Strategy, Management and Development",กลยุทธ์ การจัดการ และการพัฒนาระบบสารสนเทศ
Information Systems Project Management,การบริหารโครงการระบบสารสนเทศ
Risk Management,การจัดการความเสี่ยง
Innovation and Change Management,นวัตกรรมและการจัดการการเปลี่ยนแปลง
Office Document Work,การผลิตเอกสารสำนักงาน
Innovation Programming,นวัตกรรมการเขียนโปรแกรม
Database System Concepts,แนวคิดเกี่ยวกับระบบฐานข้อมูล
Taxation 1,การภาษีอากร 1
Rhythmic Activities,กิจกรรมเข้าจังหวะ
Badminton,แบดมินตัน
Swimming,ว่ายน้ำ
Information System for Decision Support,ระบบสารสนเทศเพื่อสนับสนุนการตัดสินใจ
Marketing Strategies ,กลยุทธ์การตลาด
Social Dance for Health,ลีลาศเพื่อสุขภาพ
Life Skills and Volunteer Mind,ทักษะชีวิตและจิตอาสา
Arts of Love,ศิลปะแห่งความรัก
Innovative Thinking,การคิดเชิงนวัตกรรม
Requirements Analysis of Information Systems,การวิเคราะห์ความต้องการระบบสารสนเทศ
Information Systems Innovation and New Technologies,นวัตกรรมและเทคโนโลยีด้านระบบสารสนเทศ
Marketing Planning,การวางแผนการตลาด
Social Enterprise,ธุรกิจเพื่อสังคม
Time Management,การบริหารเวลา
Swimming for Health,ว่ายนํ้าเพื่อสุขภาพ
Online Business,การประกอบการธุรกิจออนไลน์
Enterprise Resource Planning Technology,เทคโนโลยีการบริหารทรัพยากรด้วยระบบอีอาร์พี
Embedded System Technology in Agriculture,เทคโนโลยีระบบฝังตัวทางการเกษตร
Mobile Computing Technology,เทคโนโลยีการประมวลผลแบบโมบาย
Analysis and Design of Algorithms,การวิเคราะห์และออกแบบขั้นตอนวิธี
Object-Oriented Software Development,การพัฒนาซอฟต์แวร์เชิงอ็อบเจกต์
Computer System and Assembly Languages ,ระบบเครื่องคอมพิวเตอร์และภาษาแอสเซมบลี 
Data Structures and Algorithms,โครงสร้างข้อมูลและอัลกอรึทึม
Project Management in Information Technology,การบริหารโครงการทางเทคโนโลยีสารสนเทศ
Programming Languages,ภาษาโปรแกรม 
Special Topic in Information Technology,หัวข้อพิเศษทางเทคโนโลยีสารสนเทศ
Information Technology Research Methodology,ระเบียบวิธีวิจัยทางเทคโนโลยีสารสนเทศ
Information System Security,ความมั่นคงปลอดภัยของระบบสารสนเทศ
Computer Science Seminar,สัมมนาวิทยาการคอมพิวเตอร์
Operating Systems of Computer,ระบบปฏิบัติการคอมพิวเตอร์
Microcomputer System and Interfacing,ระบบไมโครคอมพิวเตอร์และการอินเตอร์เฟสซิ่ง
Data Communication and Computer Network System,การสื่อสารข้อมูลและระบบเครือข่ายคอมพิวเตอร์
Computer Network Administration,การบริหารเครือข่ายคอมพิวเตอร์
Software Packages,การใช้งานโปรแกรมสำเร็จรูป
Information Technology Seminar,สัมมนาทางเทคโนโลยีสารสนเทศ
Multimedia Technology,เทคโนโลยีสื่อประสม
Mobile Devices Programming,การโปรแกรมสำหรับอุปกรณ์เคลื่อนที่
Business Information Systems,ระบบสารสนเทศเพื่อธุรกิจ
Selected Programming Language,โปรแกรมภาษาทางเลือก
Geographic Information System,ระบบสารสนเทศทางภูมิศาสตร์
Cloud Computing,การประมวลผลแบบกลุ่มเมฆ
Embedded System Technology,เทคโนโลยีระบบฝังตัว
Web Technology,เว็บเทคโนโลยี
Database System,ระบบฐานข้อมูล
Ethics and Information Law,จริยธรรมและกฎหมายสารสนเทศ
Data Structure and Algorithm,โครงสร้างข้อมูลและอัลกอริธึม
Computer Platform Technology,เทคโนโลยีแพลตฟอร์มคอมพิวเตอร์
Human Computer Interaction,ปฏิสัมพันธ์ระหว่างมนุษย์และคอมพิวเตอร์
Integrative Programming and Web Technology,การบูรณาการการเขียนโปรแกรมและเว็บเทคโนโลยี
Fundamentals of Programming,การเขียนโปรแกรมเบื้องต้น
Calculus 1,แคลคูลัส 1
Calculus 2,แคลคูลัส 2
Scientific Information for Computer Science,ข้อมูลเชิงวิทยาศาสตร์สาหรับวิทยาการคอมพิวเตอร์
Local Wisdom,ภูมิปัญญาท้องถิ่น
Fundamentals of Information Technology,พื้นฐานเทคโนโลยีสารสนเทศ
Principle of Physics,หลักฟิสิกส์
Computer Science Pre-Project,การเตรียมโครงงานทางวิทยาการคอมพิวเตอร์
Management Information System,ระบบสารสนเทศเพื่อการจัดการ
Computer Science Research Methodology,ระเบียบวิธีวิจัยทางวิทยาการคอมพิวเตอร์
Computer Science Project,โครงงานทางวิทยาการคอมพิวเตอร์
Electronic Commerce on Internet,พาณิชย์อิเล็กทรอนิกส์บนอินเทอร์เน็ต
Statistics for Science,สถิติสำหรับวิทยาศาสตร์
Fundamental Computer Science,วิทยาการคอมพิวเตอร์เบื้องต้น
Introduction to Digital,ดิจิทัลเบื้องต้น
Internet of Things,อินเทอร์เน็ตของทุกสิ่ง
Computer System and Assembly Languages,ระบบเครื่องคอมพิวเตอร์และภาษาแอสเซมบลี
Modern Programming Language,ภาษาโปรแกรมสมัยใหม่
Software Engineering for Information Technology,วิศวกรรมซอฟต์แวร์สำหรับเทคโนโลยีสารสนเทศ
Introduction to Computer,คอมพิวเตอร์เบื้องต้น
Creation of Scientific Methods for Research and Innovation,การสร้างกระบวนการทางวิทยาศาสตร์เพื่อทำงานวิจัย และการสร้างนวัตกรรม
Computer System Security,ความปลอดภัยของระบบคอมพิวเตอร์
Mobile Devices Programming,การเขียนโปรแกรมสำหรับอุปกรณ์เคลื่อนที่
Object Oriented Software Development,การพัฒนาซอฟต์แวร์เชิงวัตถุ
Structure Programming,การเขียนโปรแกรมเชิงโครงสร้าง
Database System for Information Technology,ระบบฐานข้อมูลสำหรับเทคโนโลยีสารสนเทศ
Computer Security,ความมั่นคงปลอดภัยของระบบคอมพิวเตอร์
Systems Information Technology in Organization,เทคโนโลยีและระบบสารสนเทศในองค์กร
Information Management,การจัดการสารสนเทศ
Technological Mathematics,คณิตศาสตร์เทคโนโลยี
Discrete Mathematics,คณิตศาสตร์เต็มหน่วย
Ethics and Computer Law,จริยธรรมและกฎหมายคอมพิวเตอร์
English Vocabulary,คำศัพท์ภาษาอังกฤษ
Cross Cultural Communication,การสื่อสารข้ามวัฒนธรรม
"Computer Science in Community, Company and Coperation",วิทยาการคอมพิวเตอร์ในชุมชน สถานประกอบการ และองค์กร
Computer Architecture,สถาปัตยกรรมทางคอมพิวเตอร์ 
Operating Systems,ระบบปฏิบัติการ
Computer Organization and Architecture,องค์ประกอบและสถาปัตยกรรมคอมพิวเตอร์
Numerical Methods,ระเบียบวิธีเชิงตัวเลข
Introduction to Physics Laboratory,ปฏิบัติการฟิสิกส์เบื้องต้น
Introduction to Physics,ฟิสิกส์เบื้องต้น
Web Services Technology,เทคโนโลยีเว็บเซอร์วิส
Physics 2 for Engineers,ฟิสิกส์ 2 สำหรับวิศวกร
Physics 1,ฟิสิกส์ 1
Engineering Drawing,เขียนแบบวิศวกรรม
Embedded Systems,ระบบสมองกลฝังตัว
Parallel and Distributed Database Systems,ระบบฐานข้อมูลแบบขนานและแบบกระจาย
Internet Programming,การเขียนโปรแกรมอินเทอร์เน็ต
Hardware Laboratory,ปฏิบัติการฮาร์ดแวร์
Image Processing and Computer Vision,การประมวลผลและการรับรู้ภาพ
Parallel Programming for Cluster Systems,การโปรแกรมแบบขนานสำหรับระบบคลัสเตอร์คอมพิวเตอร์
Artificial Intelligence for Robots,ปัญญาประดิษฐ์สำหรับหุ่นยนต์
Computer Graphics,คอมพิวเตอร์กราฟิกส์
Electronics Engineering and Automation Control Systems Preproject,เตรียมโครงงานวิศวกรรมอิเล็กทรอนิกส์และระบบควบคุมอัตโนมัติ
English Conversation 1,สนทนาภาษาอังกฤษ 1
Computer Integrated Manufacturing Automation Systems,การใช้คอมพิวเตอร์ควบคุมระบบการผลิตอัตโนมัติ
Production Planning and Control,การวางแผนการผลิตและการควบคุม
Industrial Electronics,อิเล็กทรอนิกส์อุตสาหกรรม
Sensors and Transducers,เซนเซอร์และทรานสดิวเซอร์
LED Technology,เทคโนโลยีแอลอีดี
Image Processing and Applications,การประมวลผลภาพและการประยุกต์ใช้งาน
Power Electronics and Electric Drives,อิเล็กทรอนิกส์กำลังและการขับเคลื่อนด้วยไฟฟ้า
Mobile Application Development,การพัฒนาโปรแกรมบนอุปกรณ์โทรศัพท์มือถือ
Calculus 1 for Engineers,แคลคูลัส 1 สำหรับวิศวกร
System Analysis and Design for Engineering,การวิเคราะห์และออกแบบระบบสำหรับวิศวกรรม
Chemistry for Engineers,เคมีสำหรับวิศวกร
Data Structures and Algorithms,โครงสร้างข้อมูลและขั้นตอนวิธี
Engineering Mechanics,กลศาสตร์วิศวกรรม
Computer Architecture and Organization,โครงสร้างและสถาปัตยกรรมคอมพิวเตอร์
Engineering Materials,วัสดุวิศวกรรม
Calculus 2 for Engineers,แคลคูลัส 2 สำหรับวิศวกร
Computer Programming for Control,การโปรแกรมคอมพิวเตอร์สำหรับงานควบคุม
Microprocessor Architecture and Assembly Language,สถาปัตยกรรมไมโครโปรเซสเซอร์และภาษาแอสแซมบลี
Fundamental of Electrical Engineering,หลักมูลของวิศวกรรมไฟฟ้า
Database and Information Systems,ฐานข้อมูลและระบบสารสนเทศ
Computer System Architectures and Organizations,โครงสร้างและสถาปัตยกรรมของระบบคอมพิวเตอร์
Computer Engineering Project Preparation,การเตรียมโครงงานทางวิศวกรรมคอมพิวเตอร์
Engineering Electronics,อิเล็กทรอนิกส์วิศวกรรม
Digital Logic and Circuits Design Laboratory,ปฏิบัติการออกแบบวงจรดิจิทัลลอจิก
Digital Logic and Circuits Design,การออกแบบวงจรดิจิทัลลอจิก
Physics 1 for Engineers,ฟิสิกส์ 1 สำหรับวิศวกร
Electric Circuits Laboratory,ปฏิบัติการวงจรไฟฟ้า
Digital Image Processing and Computer Vision,การประมวลผลภาพดิจิทัล และการมองเห็นโดยคอมพิวเตอร์
Thai and International Food,อาหารไทยและอาหารนานาชาติ
Photography for Visual communication Design,การถ่ายภาพเพื่องานออกแบบนิเทศศิลป์
Electrical Engineering Mathematics,คณิตศาสตร์วิศวกรรมไฟฟ้า
Principles of Communication,หลักการของระบบสื่อสาร
Data Communication and Networking,การสื่อสารข้อมูลและโครงข่าย
Consumer Behavior,พฤติกรรมผู้บริโภค
Production Planning and Control,การวางแผนและควบคุมการผลิต
Safety Engineering,วิศวกรรมความปลอดภัย
Chemical Laboratory for Engineers,ปฏิบัติการเคมีสำหรับวิศวกร
Physics Laboratory 2 for Engineers,ปฏิบัติการฟิสิกส์ 2 สำหรับวิศวกร
Machine Tools Practice,ปฏิบัติงานเครื่องมือกล
Applied Hydraulics,ไฮดรอลิกส์ประยุกต์
Electromagnetic Fields,สนามแม่เหล็กไฟฟ้า
Ethics of Vocation,จริยธรรมในวิชาชีพ
Arts of Carving and Flower Arrangement ,ศิลปะการแกะสลักและการจัดดอกไม้ 
Electrical Instruments and Measurements,เครื่องมือวัดและการวัดทางไฟฟ้า
Electric Circuits,วงจรไฟฟ้า
Computer Engineering Pre-Project,การเตรียมโครงงานวิศวกรรมคอมพิวเตอร์
Co-operative Education in Computer Engineering,สหกิจศึกษาทางวิศวกรรมคอมพิวเตอร์
Computer Engineering Project,โครงงานวิศวกรรมคอมพิวเตอร์
Numerical Methods for Computer Engineering,ระเบียบวิธีเชิงตัวเลขสำหรับวิศวกรรมคอมพิวเตอร์
Computer Engineering Laboratory,ปฏิบัติการวิศวกรรมคอมพิวเตอร์
Software Laboratory,ปฏิบัติการซอฟต์แวร์
Software Design and Development,การออกแบบและพัฒนาซอฟต์แวร์
Introduction to Database and Big Data Engineering,วิศวกรรมฐานข้อมูลและข้อมูลขนาดใหญ่เบื้องต้น
Computer Aided Design and Analysis (CAD/CAM),คอมพิวเตอร์ช่วยในการออกแบบ ผลิตและวิเคราะห์
Electronics Engineering and Automation Control Systems Laboratory 2,ปฏิบัติการทางวิศวกรรมอิเล็กทรอนิกส์และระบบควบคุมอัตโนมัติ 2
Optical Communication,การสื่อสารทางแสง
Mathematical Foundations for Computer Engineering,คณิตศาสตร์พื้นฐานสำหรับวิศวกรรมคอมพิวเตอร์
Physics Laboratory 1 for Engineers,ปฏิบัติการฟิสิกส์ 1 สำหรับวิศวกร
Quality Control,การควบคุมคุณภาพ
Modern Mechatronics Technology,เทคโนโลยีเมคคาทรอนิกส์สมัยใหม่
Industrial Robotics and Machine Vision,หุ่นยนต์อุตสาหกรรมและกลจักรวิทัศน์
Human Machine Interface,การเชื่อมต่อระหว่างมนุษย์และเครื่องจักร
Sensor and Transducers Technology,เทคโนโลยีเซนเซอร์และทรานสดิวเซอร์
Introduction to Sociology,สังคมวิทยาเบื้องต้น
Social Geography and Culture of ASEAN,ภูมิสังคมวัฒนธรรมอาเซียน
Electronics Engineering and Automation Control Systems Laboratory 1,ปฏิบัติการทางวิศวกรรมอิเล็กทรอนิกส์และระบบควบคุมอัตโนมัติ 1
Fuzzy Set Theory,ทฤษฎีฟัซซีเซต
Digital Circuits,วงจรดิจิทัล
Local Literature,ภาษาและวรรณกรรมท้องถิ่น
Professional Report Writing,การเขียนรายงานทางวิชาชีพ
Games for Recreation,เกมสร้างสรรค์สำหรับนันทนาการ
Digital Communication,การสื่อสารเชิงดิจิทัล
Computer System Architectures and Organizations,องค์ประกอบและสถาปัตยกรรมของระบบคอมพิวเตอร์
IP Network Design,การออกแบบเครือข่ายไอพี
Computer Networks,เครือข่ายคอมพิวเตอร์
Microprocessor and Interface,ไมโครโปรเซสเซอร์และการอินเตอร์เฟส
Programable Logic Controller,โปรแกรมเมเบิลลอจิกคอนโทรลเลอร์
Introduction to Thermodynamics and Fluid Mechanics,อุณหพลศาสตร์และกลศาสตร์ของไหลเบื้องต้น
Applied Pneumatics,นิวเเมติกส์ประยุกต์
Pulse and Switching Circuits,วงจรพัลส์และสวิตชิ่ง
Control System,ระบบควบคุม
"Ethical, Legal and Social Issues in Computer Profession",จริยธรรม กฎหมาย และประเด็นสังคมวิชาชีพทางคอมพิวเตอร์
Introduction to Environmental Engineering,วิศวกรรมสิ่งแวดล้อมเบื้องต้น
Mathematics for Computer Engineering,คณิตศาสตร์สำหรับวิศวกรรมคอมพิวเตอร์
Electronic Circuits for Computer Engineering,วงจรอิเล็กทรอนิกส์สำหรับวิศวกรรมคอมพิวเตอร์
Digital Signal Processing,การประมวลผลสัญญาณดิจิทัล
Signals and Systems,สัญญาณและระบบ
Heat Treatment,การอบชุบโลหะ
IoT: Internet of Things,อินเตอร์เน็ตในทุกสิ่ง
Network Cabling Installation and Maintenance,การติดตั้งและบำรุงรักษาสายสัญญาณเครือข่ายคอมพิวเตอร์
Microcontroller,ไมโครคอนโทรลเลอร์
Electronics Circuits Design,การออกแบบวงจรอิเล็กทรอนิกส์
Electronic Circuits and Devices,อุปกรณ์และวงจรอิเล็กทรอนิกส์
Software Engineering,วิศวกรรมซอฟต์แวร์ 
Electronics Engineering and Automation Control Systems Project,โครงงานวิศวกรรมอิเล็กทรอนิกส์และระบบควบคุมอัตโนมัติ 
Artificial Intelligence and Machine Learning,ปัญญาประดิษฐ์และการเรียนรู้ของเครื่อง
Cloud Computing,การประมวลผลแบบคลาวด์
Application and Game Development for Mobile Device,การพัฒนาโปรแกรมประยุกต์และเกมสำหรับอุปกรณ์เคลื่อนที่
Programmable Logic Controller in Automation Systems,โปรแกรมเมเบิลลอจิกคอนโทรลเลอร์ในระบบอัตโนมัติ
Microprocessors and Interfacing Laboratory,ปฏิบัติการไมโครโปรเซสเซอร์และการอินเตอร์เฟส
Electrical Circuits for Computer Engineering,วงจรไฟฟ้าสำหรับวิศวกรรมคอมพิวเตอร์
Discrete Mathematics for Engineering,คณิตศาสตร์ดิสครีตสำหรับวิศวกรรม
Computer and Data Security,ความมั่นคงปลอดภัยของคอมพิวเตอร์และข้อมูล
Software Requirements Specification and Design,การกำหนดความต้องการและการออกแบบทางซอฟต์แวร์
Smart Mobile Control,การสั่งงานด้วยอุปกรณ์พกพาอัจฉริยะเคลื่อนที่
Selected Topics in Computer Engineering,หัวข้อเฉพาะทางวิศวกรรมคอมพิวเตอร์
Embedded Systems and Internet of Everything,ระบบสมองกลฝังตัวและอินเทอร์เน็ตในทุกสรรพสิ่ง
